Column1,Column2,Column3,Column4,Column5,Column6
N_sample,X,Y,Z,ID,label
7,379,380,457,19,circle
8,-69,411,280,19,circle
9,-175,237,538,19,circle
10,-298,-49,1328,19,circle
11,321,-43,1201,19,circle
12,310,-127,1119,19,circle
13,52,-77,723,19,circle
14,160,93,1178,19,circle
15,67,46,838,19,circle
16,69,98,964,19,circle
17,93,81,946,19,circle
18,127,84,971,19,circle
19,137,83,913,19,circle
20,137,31,1021,19,circle
21,75,40,1001,19,circle
22,142,24,1009,19,circle
23,133,41,952,19,circle
24,241,52,889,19,circle
25,203,47,1045,19,circle
1,154,34,912,20,circle
2,154,34,912,20,circle
3,161,1,1028,20,circle
4,118,3,913,20,circle
5,132,-62,930,20,circle
6,192,-100,984,20,circle
7,461,-10,1101,20,circle
8,287,143,958,20,circle
9,448,413,860,20,circle
10,467,406,554,20,circle
11,-128,366,453,20,circle
12,-159,95,621,20,circle
13,-339,-203,993,20,circle
14,-239,-329,1662,20,circle
15,152,-157,938,20,circle
16,358,-84,830,20,circle
17,288,-27,876,20,circle
18,86,-14,933,20,circle
19,122,4,1064,20,circle
20,107,6,885,20,circle
21,110,-8,988,20,circle
22,115,20,976,20,circle
23,155,-28,1093,20,circle
24,144,-20,921,20,circle
25,162,-9,940,20,circle
1,225,-9,963,21,circle
2,225,-9,963,21,circle
3,148,2,973,21,circle
4,198,-40,1018,21,circle
5,183,-21,910,21,circle
6,157,-53,942,21,circle
7,150,-11,1256,21,circle
8,675,260,1188,21,circle
9,679,251,309,21,circle
10,32,431,-40,21,circle
11,-736,72,479,21,circle
12,12,-326,1218,21,circle
13,46,-269,1182,21,circle
14,187,-187,1057,21,circle
15,321,50,661,21,circle
16,118,101,899,21,circle
17,160,86,970,21,circle
18,91,87,1054,21,circle
19,106,124,927,21,circle
20,119,103,976,21,circle
21,162,130,857,21,circle
22,190,84,997,21,circle
23,130,89,1000,21,circle
24,184,81,1029,21,circle
25,162,113,919,21,circle
1,181,78,910,22,circle
2,181,53,1016,22,circle
3,102,65,916,22,circle
4,213,49,940,22,circle
5,169,51,1051,22,circle
6,191,4,968,22,circle
7,631,9,803,22,circle
8,326,-136,702,22,circle
9,-124,-468,1306,22,circle
10,-691,-73,774,22,circle
11,-557,-36,764,22,circle
12,-1082,77,743,22,circle
13,-484,159,633,22,circle
14,248,344,366,22,circle
15,444,174,878,22,circle
16,458,-57,1183,22,circle
17,205,-159,1489,22,circle
18,118,-106,891,22,circle
19,31,-14,881,22,circle
20,188,-33,967,22,circle
21,43,-37,1025,22,circle
22,38,9,863,22,circle
23,-2,2,1016,22,circle
24,41,-20,887,22,circle
25,99,-11,1048,22,circle
1,169,-25,963,23,circle
2,84,-10,1014,23,circle
3,88,-10,885,23,circle
4,74,-46,989,23,circle
5,127,-12,899,23,circle
6,86,-66,995,23,circle
7,102,-31,901,23,circle
8,318,-160,1102,23,circle
9,-642,-304,1133,23,circle
10,-730,-210,806,23,circle
11,-688,-262,806,23,circle
12,-870,46,465,23,circle
13,-613,191,668,23,circle
14,-174,360,-81,23,circle
15,454,345,662,23,circle
16,499,-202,1865,23,circle
17,292,-295,1039,23,circle
18,-36,-148,1007,23,circle
19,-103,-87,863,23,circle
20,69,-80,968,23,circle
21,178,-80,882,23,circle
22,123,-77,1056,23,circle
23,73,-41,886,23,circle
24,78,-81,1032,23,circle
25,86,-38,863,23,circle
1,69,0,907,24,circle
2,203,-7,976,24,circle
3,99,6,1012,24,circle
4,90,-2,900,24,circle
5,81,6,959,24,circle
6,124,22,919,24,circle
7,144,-30,1049,24,circle
8,-44,-27,945,24,circle
9,278,-22,911,24,circle
10,364,-64,1098,24,circle
11,-579,-101,1459,24,circle
12,-651,-74,981,24,circle
13,-902,-209,753,24,circle
14,-1140,-103,479,24,circle
15,-1004,1,183,24,circle
